-1.246, 6.4747, -95.7499, -4.5025, -4.9766
-0.2061, 8.8302, -99.2808, -4.2125, -5.131
-0.0267, 10.5827, -103.5575, -2.6088, -4.39
-0.002, 16.158, -109.475, -2.098, -4.5832
-0.0004, 3.8744, -103.7702, -0.0148, -0.0892
-0.0005, 434.6352, -532.0899, -0.4985, -2.0465
-0.0007, 9.4757, -109.4641, -0.0035, -0.0078
-0.0004, 5.7958, -105.786, -0.0039, -0.0058
-0.0005, 0.0149, -100.0011, -0.0047, -0.0088
-0.0007, 0.0007, -99.9913, -0.0028, -0.0062
-0.0002, 0.0, -99.9777, -0.0106, -0.0117
-0.0005, 0.0, -99.9831, -0.007, -0.0096
-0.0004, 0.0, -99.9884, -0.0052, -0.0062
-0.0003, 0.0, -99.9636, -0.0171, -0.0192
-0.0012, 0.0, -99.9759, -0.0089, -0.0141
-0.0003, 0.0, -99.9888, -0.0046, -0.0065
-0.001, 0.0, -99.9871, -0.0048, -0.0073
-0.0004, 0.0, -99.9866, -0.0054, -0.0078
-0.001, 0.0, -99.9859, -0.005, -0.0082
-0.001, 0.0, -99.9884, -0.004, -0.0068
-0.0008, 0.0, -99.9891, -0.0046, -0.0058
-0.0011, 0.0, -99.9893, -0.0039, -0.006
-0.0004, 0.0, -99.9891, -0.0047, -0.006
-0.0004, 0.0, -99.9841, -0.0066, -0.0091
-0.0007, 0.0, -99.9888, -0.0056, -0.008
